model,picture_path
1999 Indy 500 Monte Carlo SS,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1999 Indy 500 Monte Carlo SS\\1.lg_3690.jpg
1913 Ford Model T Speedster,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1913 Ford Model T Speedster\\1.image.jpg
1934 Ford V8 Coupe,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1934 Ford V8 Coupe\\1.1934_ford_v81.jpg
18th Century Vintage Horse Carriage,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\18th Century Vintage Horse Carriage\\1.903761830591b5b8826f2b96d04b042e.jpg
1903 Ford Model A,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1903 Ford Model A\\1.1903fordmodela_08.jpg
1992 Ferrari 360 Spider red,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1992 Ferrari 360 Spider red\\1.945310d1434376485-fs-ferrari-360-spider-red-tan-frontangle.jpg
1985 Toyota Supra,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1985 Toyota Supra\\1.img_0780.jpg
1969 Dodge Super Bee,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1969 Dodge Super Bee\\1.1969_dodge_coronet_super_bee_a12_%2821700148724%29.jpg
1917 Maxwell Touring Car,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1917 Maxwell Touring Car\\1.s-l300.jpg
1976 Ford Gran Torino,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1976 Ford Gran Torino\\1.car-101128155-bf295c3ad4b366f8fbe3fc7f4c116727.jpg
1948 Porsche Type 356 Roadster,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1948 Porsche Type 356 Roadster\\1.01-356-nr-1-cc73578b.jpg
1941 Chevrolet Special Deluxe Cabriolet,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1941 Chevrolet Special Deluxe Cabriolet\\1.1941-chevrolet-special-deluxe-cab-1.jpg
1970 Triumph Spitfire,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1970 Triumph Spitfire\\1.triumph-spitfire-1970-t0555-002.jpg
1932 Alfa Romeo 8C2300 Spider Sport,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1932 Alfa Romeo 8C2300 Spider Sport\\1.image.jpg
1904 Buick Runabout,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1904 Buick Runabout\\1.1908-buick.jpg
1939 Cadillac Limousine,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1939 Cadillac Limousine\\1.405002-2.jpg
1957 Corvette Convertible,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1957 Corvette Convertible\\1.779_main_l.jpg
1957 Ford Thunderbird,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1957 Ford Thunderbird\\1.1957_ford_thunderbird_%2828911503716%29_%28cropped%29.jpg
1970 Chevy Chevelle SS 454,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1970 Chevy Chevelle SS 454\\1.622766.jpg
1970 Dodge Coronet,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1970 Dodge Coronet\\1.129073_022c877d494a3fce.jpg
1966 Shelby Cobra 427 S/C,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1966 Shelby Cobra 427 S\\C\\1.7959451.jpg
1939 Chevrolet Deluxe Coupe,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1939 Chevrolet Deluxe Coupe\\1.5b5218b707d03_chevrolet_business_coupe_15319582483af36a0bd3635b20180703vintagecarba255-2.jpg
1938 Cadillac V-16 Presidential Limousine,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1938 Cadillac V-16 Presidential Limousine\\1.biga.jpg
1949 Jaguar XK 120,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1949 Jaguar XK 120\\1.a48e85a0767ed7d5fdbff0397630e879.jpg
1958 Chevy Corvette Limited Edition,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1958 Chevy Corvette Limited Edition\\1.chevrolet-corvette-c1-1958-vray.jpg
1952 Citroen-15CV,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1952 Citroen-15CV\\1.dfecfc2a-53e1-11e4-8122-81ee01187dce.jpg
1982 Lamborghini Diablo,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1982 Lamborghini Diablo\\1.1982_lamborghini_countach-pic-7622530079041393305-1600x1200.jpeg
1912 Ford Model T Delivery Wagon,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1912 Ford Model T Delivery Wagon\\1.c0a35fc7e36d48f21def71128c3fb7ae-700.jpg
1969 Chevrolet Camaro Z28,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1969 Chevrolet Camaro Z28\\1.1969-chevrolet-camaro-z28-rs.jpg
1971 Alpine Renault 1600s,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1971 Alpine Renault 1600s\\1.micromodele-norev-macheta-masina-epoca-sport-alpine-renault-a110-1600s-1971-albastru-scara-1-18-185300-01-850x450.jpg
1937 Horch 930V Limousine,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1937 Horch 930V Limousine\\1.87671.jpg
2002 Chevy Corvette,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\2002 Chevy Corvette\\1.2002-chevrolet-corvette-z06-road-test-review-car-and-driver-photo-9746-s-original.jpg
1940 Ford Delivery Sedan,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1940 Ford Delivery Sedan\\1.1940-ford-sedan-delivery-1.jpg
1956 Porsche 356A Coupe,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1956 Porsche 356A Coupe\\1.1956-porsche-356a-coupe.jpg
1936 Mercedes Benz 500k Roadster,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1936 Mercedes Benz 500k Roadster\\1.mercedes-benz_500k_special_roadster_1936_1000_0001.jpg
1992 Porsche Cayenne Turbo Silver,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1992 Porsche Cayenne Turbo Silver\\1.funciones.jpg
1936 Chrysler Airflow,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1936 Chrysler Airflow\\1.001.jpg
1961 Chevrolet Impala,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1961 Chevrolet Impala\\1.1961-chevrolet-impala-ss409-archived-test-feature-car-and-driver-photo-599494-s-original.jpg
1928 Ford Phaeton Deluxe,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1928 Ford Phaeton Deluxe\\1.1928-ford-phaeton.jpg
1930 Buick Marquette Phaeton,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1930 Buick Marquette Phaeton\\1.1930marquettelarge.jpg
1982 Camaro Z28,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1982 Camaro Z28\\1.1982_chevrolet_camaro_1544803697d4995ac20181106_092631.jpg
